,ds,y,RECURSO
0,2021-01-10,0.033,0
1,2021-01-17,0.0,0
2,2021-01-24,0.0,0
3,2021-01-31,0.0,0
4,2021-02-07,0.0,0
5,2021-02-14,0.0,0
6,2021-02-21,0.0,0
7,2021-02-28,0.0,0
8,2021-03-07,0.0,0
9,2021-03-14,0.001,0
10,2021-03-21,0.0,0
11,2021-03-28,0.0,0
12,2021-04-04,0.0,0
13,2021-04-11,2.8659999999999997,0
14,2021-04-18,2.088,0
15,2021-04-25,1.92,0
16,2021-05-02,1.505,0
17,2021-05-09,1.464,0
18,2021-05-16,1.326,0
19,2021-05-23,1.037,0
20,2021-05-30,0.879,0
21,2021-06-06,0.0,0
22,2021-06-13,0.001,0
23,2021-06-20,0.0,0
24,2021-06-27,0.0,0
25,2021-07-04,0.0,0
26,2021-07-11,0.0,0
27,2021-07-18,1.233,0
28,2021-07-25,0.004,0
29,2021-08-01,0.003,0
30,2021-08-08,0.001,0
31,2021-08-15,0.001,0
32,2021-08-22,0.0,0
33,2021-08-29,0.0,0
34,2021-09-05,0.0,0
35,2021-09-12,0.0,0
36,2021-09-19,0.0,0
37,2021-09-26,0.016,0
38,2021-10-03,0.0,0
39,2021-10-10,0.002,0
40,2021-10-17,0.001,0
41,2021-10-24,0.006,0
42,2021-10-31,0.001,0
43,2021-11-07,0.0,0
44,2021-11-14,0.0,0
45,2021-11-21,0.002,0
46,2021-11-28,0.004,0
47,2021-12-05,0.003,0
48,2021-12-12,0.002,0
49,2021-12-19,0.008,0
50,2021-12-26,0.002,0
51,2022-01-02,0.043,0
52,2022-01-09,0.0,0
53,2022-01-16,0.001,0
54,2022-01-23,0.0,0
55,2022-01-30,0.003,0
56,2022-02-06,0.003,0
57,2022-02-13,0.0,0
58,2022-02-20,0.001,0
59,2022-02-27,0.001,0
60,2022-03-06,0.011,0
61,2022-03-13,0.011,0
62,2022-03-20,0.025,0
63,2022-03-27,0.0,0
64,2022-04-03,0.031,0
65,2022-04-10,0.034,0
66,2022-04-17,0.025,0
67,2022-04-24,0.023,0
68,2022-05-01,0.03,0
69,2022-05-08,0.018,0
70,2022-05-15,0.002,0
71,2022-05-22,0.0,0
72,2022-05-29,0.001,0
73,2022-06-05,0.001,0
74,2022-06-12,0.001,0
75,2022-06-19,0.001,0
76,2022-06-26,0.002,0
77,2022-07-03,0.004,0
78,2022-07-10,0.005,0
79,2022-07-17,0.002,0
80,2022-07-24,0.002,0
81,2022-07-31,0.03,0
82,2022-08-07,0.0,0
83,2022-08-14,0.001,0
84,2022-08-21,0.0,0
85,2022-08-28,0.0,0
86,2022-09-04,0.0,0
87,2022-09-11,0.0,0
88,2022-09-18,0.0,0
89,2022-09-25,0.0,0
90,2022-10-02,0.001,0
91,2022-10-09,0.001,0
92,2022-10-16,0.0,0
93,2022-10-23,0.0,0
94,2022-10-30,0.0,0
95,2022-11-06,0.0,0
96,2022-11-13,0.0,0
97,2022-11-20,0.0,0
98,2022-11-27,0.0,0
99,2022-12-04,0.0,0
100,2022-12-11,0.0,0
101,2022-12-18,0.0,0
102,2022-12-25,0.0,0
103,2023-01-01,0.0,0
0,2021-01-10,0.01,1
1,2021-01-17,0.008,1
2,2021-01-24,0.0,1
3,2021-01-31,0.004,1
4,2021-02-07,0.004,1
5,2021-02-14,0.007,1
6,2021-02-21,0.01,1
7,2021-02-28,0.009000000000000001,1
8,2021-03-07,0.017,1
9,2021-03-14,0.004,1
10,2021-03-21,0.008,1
11,2021-03-28,0.013,1
12,2021-04-04,0.007,1
13,2021-04-11,4.252,1
14,2021-04-18,3.925,1
15,2021-04-25,3.973,1
16,2021-05-02,3.716,1
17,2021-05-09,4.195,1
18,2021-05-16,3.8520000000000003,1
19,2021-05-23,3.794,1
20,2021-05-30,3.652,1
21,2021-06-06,0.003,1
22,2021-06-13,0.009000000000000001,1
23,2021-06-20,0.009000000000000001,1
24,2021-06-27,0.01,1
25,2021-07-04,0.0,1
26,2021-07-11,0.007,1
27,2021-07-18,0.0,1
28,2021-07-25,0.011,1
29,2021-08-01,0.004,1
30,2021-08-08,0.01,1
31,2021-08-15,0.003,1
32,2021-08-22,0.0,1
33,2021-08-29,0.0,1
34,2021-09-05,0.0,1
35,2021-09-12,0.0,1
36,2021-09-19,0.0,1
37,2021-09-26,0.0,1
38,2021-10-03,0.002,1
39,2021-10-10,0.0,1
40,2021-10-17,0.0,1
41,2021-10-24,0.0,1
42,2021-10-31,0.001,1
43,2021-11-07,0.003,1
44,2021-11-14,0.0,1
45,2021-11-21,0.0,1
46,2021-11-28,0.0,1
47,2021-12-05,0.0,1
48,2021-12-12,0.0,1
49,2021-12-19,0.0,1
50,2021-12-26,0.0,1
51,2022-01-02,0.0,1
52,2022-01-09,0.0,1
53,2022-01-16,0.0,1
54,2022-01-23,0.0,1
55,2022-01-30,0.0,1
56,2022-02-06,0.0,1
57,2022-02-13,0.0,1
58,2022-02-20,0.0,1
59,2022-02-27,0.0,1
60,2022-03-06,0.0,1
61,2022-03-13,0.0,1
62,2022-03-20,0.0,1
63,2022-03-27,0.0,1
64,2022-04-03,0.0,1
65,2022-04-10,10.98,1
66,2022-04-17,0.0,1
67,2022-04-24,0.0,1
68,2022-05-01,15.261,1
69,2022-05-08,0.0,1
70,2022-05-15,11.399999999999999,1
71,2022-05-22,11.2,1
72,2022-05-29,19.51,1
73,2022-06-05,0.0,1
74,2022-06-12,0.0,1
75,2022-06-19,0.0,1
76,2022-06-26,0.0,1
77,2022-07-03,14.997,1
78,2022-07-10,13.717,1
79,2022-07-17,14.014000000000001,1
80,2022-07-24,0.0,1
81,2022-07-31,0.006,1
82,2022-08-07,0.0,1
83,2022-08-14,0.0,1
84,2022-08-21,0.0,1
85,2022-08-28,0.0,1
86,2022-09-04,0.0,1
87,2022-09-11,0.0,1
88,2022-09-18,0.0,1
89,2022-09-25,0.0,1
90,2022-10-02,0.0,1
91,2022-10-09,0.0,1
92,2022-10-16,0.0,1
93,2022-10-23,0.0,1
94,2022-10-30,0.0,1
95,2022-11-06,0.001,1
96,2022-11-13,0.0,1
97,2022-11-20,0.0,1
98,2022-11-27,0.0,1
99,2022-12-04,0.0,1
100,2022-12-11,0.0,1
101,2022-12-18,0.0,1
102,2022-12-25,0.0,1
103,2023-01-01,0.0,1
0,2021-01-10,13306.236,100
1,2021-01-17,6198.176,100
2,2021-01-24,6703.533,100
3,2021-01-31,5795.098,100
4,2021-02-07,6610.493,100
5,2021-02-14,6796.644,100
6,2021-02-21,6662.3460000000005,100
7,2021-02-28,6693.052,100
8,2021-03-07,8194.2,100
9,2021-03-14,7367.992,100
10,2021-03-21,10021.021999999999,100
11,2021-03-28,14759.349,100
12,2021-04-04,10170.947,100
13,2021-04-11,10402.422,100
14,2021-04-18,7664.333,100
15,2021-04-25,8013.343,100
16,2021-05-02,6633.535,100
17,2021-05-09,7670.2,100
18,2021-05-16,6257.227,100
19,2021-05-23,6763.95,100
20,2021-05-30,5743.117,100
21,2021-06-06,6712.528,100
22,2021-06-13,6714.04,100
23,2021-06-20,6358.839,100
24,2021-06-27,6155.405,100
25,2021-07-04,6952.691,100
26,2021-07-11,7904.53,100
27,2021-07-18,6481.688,100
28,2021-07-25,6902.2789999999995,100
29,2021-08-01,6386.574,100
30,2021-08-08,7596.902,100
31,2021-08-15,3496.359,100
32,2021-08-22,0.0,100
33,2021-08-29,0.0,100
34,2021-09-05,0.0,100
35,2021-09-12,0.0,100
36,2021-09-19,0.0,100
37,2021-09-26,5980.516,100
38,2021-10-03,5380.678,100
39,2021-10-10,6871.272,100
40,2021-10-17,5791.555,100
41,2021-10-24,6190.371,100
42,2021-10-31,5600.095,100
43,2021-11-07,6328.015,100
44,2021-11-14,6511.077,100
45,2021-11-21,6576.527,100
46,2021-11-28,6398.851,100
47,2021-12-05,6205.817,100
48,2021-12-12,6937.657,100
49,2021-12-19,6246.12,100
50,2021-12-26,7474.09,100
51,2022-01-02,6844.59,100
52,2022-01-09,6165.066,100
53,2022-01-16,6717.785,100
54,2022-01-23,6146.439,100
55,2022-01-30,6661.178,100
56,2022-02-06,6901.197,100
57,2022-02-13,6401.400000000001,100
58,2022-02-20,7059.482,100
59,2022-02-27,7378.076,100
60,2022-03-06,7021.295,100
61,2022-03-13,6407.057,100
62,2022-03-20,6685.002,100
63,2022-03-27,6159.8189999999995,100
64,2022-04-03,7505.785,100
65,2022-04-10,5961.786,100
66,2022-04-17,6449.673,100
67,2022-04-24,5555.926,100
68,2022-05-01,6541.378,100
69,2022-05-08,5983.9220000000005,100
70,2022-05-15,6049.976,100
71,2022-05-22,5839.825,100
72,2022-05-29,5926.027,100
73,2022-06-05,5955.541,100
74,2022-06-12,5233.899,100
75,2022-06-19,6142.608,100
76,2022-06-26,7386.198,100
77,2022-07-03,7522.371,100
78,2022-07-10,5966.086,100
79,2022-07-17,6494.648999999999,100
80,2022-07-24,6572.409,100
81,2022-07-31,7359.9439999999995,100
82,2022-08-07,6287.542,100
83,2022-08-14,3604.411,100
84,2022-08-21,0.0,100
85,2022-08-28,0.0,100
86,2022-09-04,0.0,100
87,2022-09-11,0.0,100
88,2022-09-18,0.0,100
89,2022-09-25,5465.556,100
90,2022-10-02,6565.932,100
91,2022-10-09,5863.4130000000005,100
92,2022-10-16,6242.794,100
93,2022-10-23,5539.548,100
94,2022-10-30,5864.913,100
95,2022-11-06,6287.173,100
96,2022-11-13,5965.506,100
97,2022-11-20,6177.827,100
98,2022-11-27,5599.044,100
99,2022-12-04,6831.829,100
100,2022-12-11,5829.3,100
101,2022-12-18,6630.6,100
102,2022-12-25,6904.0,100
103,2023-01-01,6514.7,100
0,2021-01-10,0.008,1000
1,2021-01-17,0.008,1000
2,2021-01-24,0.003,1000
3,2021-01-31,0.002,1000
4,2021-02-07,0.001,1000
5,2021-02-14,0.0,1000
6,2021-02-21,0.001,1000
7,2021-02-28,0.009,1000
8,2021-03-07,0.007,1000
9,2021-03-14,0.001,1000
10,2021-03-21,0.009,1000
11,2021-03-28,0.001,1000
12,2021-04-04,0.001,1000
13,2021-04-11,0.0,1000
14,2021-04-18,0.0,1000
15,2021-04-25,0.001,1000
16,2021-05-02,0.0,1000
17,2021-05-09,0.002,1000
18,2021-05-16,0.0,1000
19,2021-05-23,0.001,1000
20,2021-05-30,3.546,1000
21,2021-06-06,0.001,1000
22,2021-06-13,0.001,1000
23,2021-06-20,0.0,1000
24,2021-06-27,0.0,1000
25,2021-07-04,4.063,1000
26,2021-07-11,0.0,1000
27,2021-07-18,3.669,1000
28,2021-07-25,0.0,1000
29,2021-08-01,0.0,1000
30,2021-08-08,0.0,1000
31,2021-08-15,0.003,1000
32,2021-08-22,0.0,1000
33,2021-08-29,0.0,1000
34,2021-09-05,0.0,1000
35,2021-09-12,0.0,1000
36,2021-09-19,0.0,1000
37,2021-09-26,0.0,1000
38,2021-10-03,0.0,1000
39,2021-10-10,0.0,1000
40,2021-10-17,0.0,1000
41,2021-10-24,0.0,1000
42,2021-10-31,0.001,1000
43,2021-11-07,0.0,1000
44,2021-11-14,0.0,1000
45,2021-11-21,0.001,1000
46,2021-11-28,0.0,1000
47,2021-12-05,0.0,1000
48,2021-12-12,0.0,1000
49,2021-12-19,0.0,1000
50,2021-12-26,0.0,1000
51,2022-01-02,0.0,1000
52,2022-01-09,0.0,1000
53,2022-01-16,0.0,1000
54,2022-01-23,0.0,1000
55,2022-01-30,0.0,1000
56,2022-02-06,0.0,1000
57,2022-02-13,0.0,1000
58,2022-02-20,0.0,1000
59,2022-02-27,0.001,1000
60,2022-03-06,0.001,1000
61,2022-03-13,0.0,1000
62,2022-03-20,0.0,1000
63,2022-03-27,0.0,1000
64,2022-04-03,0.0,1000
65,2022-04-10,0.0,1000
66,2022-04-17,0.0,1000
67,2022-04-24,0.0,1000
68,2022-05-01,0.0,1000
69,2022-05-08,0.0,1000
70,2022-05-15,0.001,1000
71,2022-05-22,0.0,1000
