RECURSO,UNIDADES_EN_000_antes,REGISTOS_antes,UNIDADES_EN_000_despues,REGISTROS_despues
 A F,0.005,4,0.005,4.0
 CRT,0.057,10,0.057,10.0
 LC ,0.952,10,0.952,10.0
 MAN,0.196,10,0.196,10.0
 MGL,0.11199999999999999,10,0.11199999999999999,10.0
 MNT,0.004,6,0.004,6.0
 MOD,0.231,10,0.231,10.0
 MRN,0.017,8,0.017,8.0
 PST,6.972,10,6.972,10.0
 RNL,0.098,28,0.098,28.0
 SLS,10.121,40,10.121,40.0
 SPR,0.8240000000000001,10,0.8240000000000001,10.0
 VT ,11.943,20,11.943,20.0
0,14.525,344,14.722999999999999,392.0
1,142.618,234,142.618,234.0
10,0.035,2,0.035,2.0
100,626524.471,71662,631752.168,71818.0
1000,11.57,390,11.57,401.0
1001,4176.709,2896,4176.709,2896.0
1002,66.13,944,66.13,944.0
1003,0.074,44,0.074,44.0
1004,0.532,182,0.532,182.0
1006,1732.008,2196,1732.008,2196.0
1007,0.023,6,0.023,6.0
1008,296.587,1418,296.587,1418.0
1009,3067.986,5616,3090.004,5620.0
101,544147.264,36162,601758.094,36379.0
1013,15.978,920,15.978,920.0
1017,38.917,1496,40.121,1510.0
1018,95.614,242,95.614,242.0
102,71301.2,18410,71301.2,18410.0
1020,26.323,492,26.323,492.0
1021,0.285,4,0.285,4.0
1022,50.886,1714,50.886,1714.0
1023,325.59499999999997,482,325.59499999999997,482.0
1024,79170.897,840,79170.897,840.0
1025,79.885,236,79.885,236.0
1026,14.697,350,14.697,350.0
103,12909.047,5792,12910.268,5966.0
1031,832.165,1490,890.789,1512.0
1033,65.613,752,65.613,752.0
1034,11603.587,7418,11603.587,7418.0
104,546561.16,9492,546561.16,9492.0
1041,0.002,86,0.002,90.0
1042,0.568,94,0.568,94.0
1046,0.557,104,0.557,104.0
1048,0.027,2,0.027,2.0
105,75318.77,14252,75536.922,14276.0
1050,25.673000000000002,946,25.673000000000002,946.0
1055,0.0,34,0.0,34.0
1056,0.414,86,0.414,86.0
1057,0.007,184,0.007,184.0
106,25085.472,5232,25085.543,5268.0
1062,0.209,130,0.209,130.0
1063,0.001,2,0.001,2.0
1066,3573.15,3030,3573.15,3030.0
1069,0.795,324,0.795,324.0
107,283500.641,26806,283520.996,26859.0
1070,0.015,2,0.015,2.0
1071,0.0,6,0.0,6.0
1072,0.001,2,0.001,2.0
1074,0.0,4,0.0,4.0
1079,9.005,188,9.005,188.0
108,8968.177,9742,8968.177,9742.0
1081,0.001,196,0.001,196.0
1085,2.386,200,2.386,200.0
109,18744.637,9214,18744.637,9214.0
1093,0.785,448,0.785,448.0
1095,15.938,1550,15.938,1550.0
1097,33.934,1922,33.934,1922.0
11,40.643,186,40.643,186.0
110,30715.323,10136,30715.323,10136.0
1100,78.371,52,78.371,52.0
1102,8.194,1790,8.194,1790.0
111,6808.759,4302,6808.759,4302.0
1110,3.466,1184,3.466,1184.0
1115,122.778,1488,122.778,1488.0
1119,209.946,1350,209.95,1366.0
112,800.63,2304,800.63,2304.0
1120,174.819,194,174.819,194.0
1121,0.001,26,0.001,26.0
1122,0.002,244,0.002,244.0
1124,0.099,186,0.099,186.0
1125,0.0,94,0.0,94.0
113,2297.549,1046,2297.549,1046.0
1132,355.151,1864,355.151,1864.0
1136,0.502,246,0.502,246.0
1138,12.257,824,12.35,836.0
114,390.276,1418,390.276,1418.0
115,3.335,276,3.335,276.0
1153,4.453,714,4.453,714.0
1155,66.511,174,66.511,174.0
1156,0.601,2,0.601,2.0
116,0.025,4,0.025,4.0
1163,2.065,818,2.065,818.0
117,87.122,2298,87.122,2298.0
1178,4.6,180,4.6,180.0
118,91.48,292,91.48,292.0
1184,5500.183,3074,5500.183,3074.0
1191,0.0,42,0.0,42.0
1196,0.0,174,0.0,174.0
12,0.331,10,0.331,10.0
120,31724.521,8894,31724.521,8894.0
121,4280.645,3528,4280.645,3528.0
1210,0.133,494,0.133,494.0
1215,4.378,188,4.378,188.0
1217,21.446,1684,21.446,1684.0
122,50.635999999999996,76,50.635999999999996,76.0
1220,4.62,280,4.62,280.0
1225,21.844,174,21.844,174.0
123,0.0,30,0.0,30.0
1234,8.213,410,8.213,410.0
1237,1.489,298,1.489,298.0
124,0.679,50,0.679,50.0
1242,3.326,574,3.326,574.0
1246,0.0,136,0.0,136.0
1247,136.27,188,136.27,188.0
125,1355.111,2846,1355.111,2846.0
1256,33.595,190,33.595,190.0
126,0.269,194,0.269,194.0
1260,0.001,2,0.001,2.0
1263,17.071,1308,17.071,1308.0
1265,0.267,102,0.267,102.0
127,7.773,476,7.773,476.0
1273,31.742,566,31.742,566.0
1279,0.203,150,0.203,150.0
128,0.001,4,0.001,4.0
1286,26.377,1494,26.377,1494.0
129,36.492,310,36.492,310.0
1290,11.488,276,11.488,276.0
1292,0.012,92,0.012,92.0
1299,0.002,96,0.002,96.0
13,0.16999999999999998,100,0.16999999999999998,100.0
1300,11376.816,2904,11376.816,2904.0
1303,0.0,156,0.0,156.0
1306,10.205,288,10.205,288.0
131,70.352,548,70.352,548.0
1313,0.0,4,0.0,4.0
1314,0.006,4,0.006,4.0
1317,0.0,2,0.0,2.0
132,331.978,494,331.978,494.0
1323,1.834,686,1.834,686.0
133,11.418,190,11.418,190.0
1330,161.6,1314,161.6,1314.0
1339,0.026000000000000002,2,0.026000000000000002,2.0
134,78.07,196,78.07,196.0
1340,2.489,278,2.489,278.0
1341,7.974,368,7.974,368.0
1344,0.0,92,0.0,92.0
135,14.558,180,14.558,180.0
1352,385.1,96,385.1,96.0
1353,1.111,238,1.111,238.0
1355,72.076,1150,72.076,1150.0
1356,2.122,728,2.122,728.0
136,17014.183,2830,17567.72,2843.0
1360,0.0,72,0.0,72.0
1362,0.001,88,0.001,88.0
1364,22.359,660,22.359,660.0
1366,2.245,108,2.245,108.0
137,37.781,130,37.781,130.0
1370,2637.566,5756,2637.566,5756.0
1381,0.191,122,0.191,122.0
1388,144.339,672,144.339,672.0
139,460.117,4948,460.117,4948.0
1393,0.509,82,0.509,82.0
1394,50.725,588,50.725,588.0
1396,25129.043,456,25129.043,456.0
14,0.0,36,0.0,36.0
140,39402.315,904,39402.315,904.0
1407,0.0,2,0.0,2.0
141,2402.724,2084,4045.585,2316.0
1410,0.0,188,0.0,188.0
1414,0.331,114,0.331,114.0
142,1213.557,2496,1213.557,2496.0
1420,0.0,4,0.0,4.0
1427,1349.368,2796,1349.368,2796.0
143,1959.579,1524,1959.579,1524.0
1431,0.326,132,0.326,132.0
1434,0.0,28,0.0,28.0
1437,0.082,98,0.082,98.0
144,103.191,1508,103.191,1508.0
145,0.563,378,0.563,378.0
1450,0.0,2,0.0,2.0
1455,28.234,1110,28.234,1110.0
1457,0.0,38,0.0,38.0
1459,0.293,10,0.293,10.0
146,176.90800000000002,2022,176.90800000000002,2022.0
1460,2.177,794,2.177,794.0
147,0.73,100,0.73,100.0
1470,823.154,2092,823.154,2092.0
148,0.0,68,0.0,68.0
1494,0.77,408,0.77,408.0
1495,0.017,4,0.017,4.0
1497,0.001,288,0.001,288.0
15,0.139,8,0.139,8.0
150,15.257,840,15.257,840.0
1501,0.049,6,0.049,6.0
1507,2.502,170,2.502,170.0
151,1251.708,1478,1251.72,1496.0
152,173.45,190,173.45,190.0
1520,0.168,20,0.168,20.0
1521,1.216,6,1.216,6.0
1522,7.009,608,7.009,608.0
1524,0.571,10,0.571,10.0
1528,0.001,2,0.001,2.0
1529,0.846,76,0.846,76.0
153,3.146,106,3.146,106.0
1535,0.066,14,0.066,14.0
1536,7.33,1448,7.371,1490.0
154,2866.6,350,2866.6,350.0
1540,0.004,326,0.004,326.0
1542,0.0,2,0.0,2.0
1548,0.003,356,0.003,356.0
155,0.001,2,0.001,2.0
1555,2187.191,3100,2187.191,3100.0
1558,1048.082,1248,1048.082,1248.0
157,0.0,360,0.0,360.0
1570,0.032,22,0.032,22.0
1571,0.55,48,0.55,48.0
158,1549.905,682,1549.905,682.0
16,42.712,6986,42.712,6989.0
1600,16322.1,5072,16322.1,5072.0
1603,132.745,2916,132.745,2916.0
1612,0.005,110,0.005,110.0
1619,0.001,2,0.001,2.0
162,331.5,96,331.5,96.0
1624,43.81,8,43.81,8.0
163,3.59,40,3.59,40.0
164,1194.454,1212,1194.454,1237.0
1640,0.043,26,0.043,26.0
165,100.557,328,100.557,328.0
166,395.571,2654,395.571,2684.0
1662,28.879,138,28.879,138.0
167,44.2,382,44.2,382.0
1670,0.0,62,0.0,62.0
168,495.017,7566,495.017,7566.0
169,923.945,3874,923.945,3874.0
16E+,0.249,4,0.249,4.0
17,0.0,10,0.0,10.0
1707,0.0,6,0.0,6.0
171,16.414,194,16.414,194.0
1710,0.015,46,0.015,46.0
172,14.841,216,14.841,216.0
1723,1.029,274,1.029,274.0
173,18.383,126,18.383,126.0
1733,2.109,188,2.109,188.0
1746,34.929,1290,34.929,1290.0
175,0.0,70,0.0,70.0
176,34779.9,2108,34779.9,2108.0
1760,0.0,60,0.0,60.0
1772,0.066,16,0.066,16.0
1773,0.008,16,0.008,16.0
1774,0.054,30,0.054,30.0
178,0.024,108,0.024,108.0
1785,0.0,22,0.0,22.0
1800,9.600000000000001,568,9.600000000000001,568.0
181,410.756,1208,410.756,1208.0
1811,25.046,242,25.046,242.0
1818,0.267,42,0.267,42.0
1819,0.83,198,0.83,198.0
1820,0.404,112,0.404,112.0
1821,0.315,102,0.315,102.0
184,154.356,1638,154.356,1638.0
1841,0.651,84,0.651,84.0
1843,0.198,6,0.198,6.0
1846,0.317,502,0.317,502.0
1858,0.687,400,0.687,400.0
186,1994.063,2950,2013.082,3090.0
1862,55.5,576,55.5,576.0
1867,5.2860000000000005,220,5.2860000000000005,220.0
187,0.0,24,0.0,24.0
1871,0.0,48,0.0,48.0
1878,0.048,76,0.048,76.0
1887,0.006,376,0.006,376.0
1892,0.076,70,0.076,70.0
19,0.012,4,0.012,4.0
190,110.856,1034,110.856,1034.0
1902,2.724,162,2.724,162.0
191,1.295,378,1.295,378.0
1915,1.432,812,1.432,812.0
1918,0.2,100,0.2,100.0
1921,0.0,18,0.0,18.0
1931,2.652,108,2.652,108.0
1943,7.1259999999999994,14,7.1259999999999994,14.0
1945,0.0,8,0.0,8.0
195,2052.065,942,2052.065,942.0
1952,0.313,86,0.313,86.0
1953,0.004,2,0.004,2.0
1958,0.0,70,0.0,70.0
1959,0.0,2,0.0,2.0
1960,0.002,4,0.002,4.0
1962,0.005,10,0.005,10.0
1966,0.0,18,0.0,18.0
1985,0.0,2,0.0,2.0
1986,0.0,2,0.0,2.0
199,0.0,88,0.0,88.0
2,63.638,180,63.638,180.0
200,265.901,3062,265.901,3062.0
2000,99.282,130,99.282,130.0
2002,31.211,36,31.211,36.0
2003,17.83,1072,17.83,1072.0
2004,3.277,38,3.277,38.0
201,30.025,960,30.025,960.0
2013,0.163,94,0.163,94.0
2025,0.40800000000000003,4,0.40800000000000003,4.0
2031,2.091,604,2.091,604.0
2045,0.062,1222,0.062,1226.0
2056,0.043000000000000003,368,0.043000000000000003,369.0
2065,0.497,8,0.497,8.0
2066,0.212,320,0.212,320.0
2070,0.0,2,0.0,2.0
208,7.6899999999999995,20,7.6899999999999995,20.0
2089,230.5,278,230.5,278.0
2091,6.477,106,6.477,106.0
21,2.906,748,2.906,748.0
2100,48.716,1456,48.716,1456.0
2113,3.894,154,3.894,154.0
2118,2.374,186,2.374,186.0
2120,2.341,372,2.341,372.0
2124,0.004,2,0.004,2.0
2127,72.4,96,72.4,96.0
2135,0.104,188,0.104,188.0
213E,0.002,2,0.002,2.0
2140,0.91,452,0.91,452.0
215,0.864,16,0.864,16.0
2150,144.09,2638,144.09,2638.0
2155,9.707,540,9.707,540.0
2168,3.726,384,3.726,384.0
2190,8.3,804,8.3,804.0
2199,16.189,1266,16.189,1266.0
220,33.349000000000004,680,33.349000000000004,680.0
2202,79.278,752,79.977,771.0
2203,6.498,1546,6.498,1546.0
221,8740.375,17748,413227.964,17845.0
2216,0.005,6,0.005,6.0
222,33986.333,10354,33986.333,10358.0
2220,2746.268,360,2746.268,360.0
2221,2691.6639999999998,1076,2691.6639999999998,1076.0
2223,3.844,8,3.844,8.0
2225,0.0,348,0.0,348.0
223,78.659,3480,32979.461,3640.0
2233,4.81,218,4.81,218.0
2235,142.907,178,142.907,178.0
224,88.119,3128,88.119,3128.0
2240,0.001,2,0.001,2.0
2244,0.389,70,0.389,70.0
2247,0.051,12,0.051,12.0
2248,1.137,44,1.137,44.0
225,17592.279,13172,17592.279,13172.0
2250,0.882,372,0.882,372.0
2252,0.0,18,0.0,18.0
2253,1.134,186,1.138,190.0
2259,0.018000000000000002,14,0.018000000000000002,14.0
226,2827.01,4682,2827.01,4682.0
2262,0.0,138,0.0,138.0
227,115.362,1242,115.362,1242.0
228,12.783,1034,12.783,1034.0
229,0.0,4,0.0,4.0
2294,0.426,32,0.426,32.0
2299,3.3000000000000003,372,3.3000000000000003,372.0
2300,0.001,20,0.001,20.0
2314,10.342,190,10.342,190.0
2320,187.9,236,187.9,236.0
2322,0.362,10,0.362,10.0
2323,5.562,196,5.562,196.0
