,RECURSO,UNIDADES_EN_000,VALOR_EN_000_PESOS
0,110,16.964,106.766
1,110,14.973,95.581
2,110,12.618,77.181
3,110,15.761,86.946
4,110,14.646,82.453
5,110,11,76.3
6,110,9.2,64.6
7,110,9.5,65
8,110,38.4,180.2
9,110,40.447,202.834
10,110,38.229,192.552
11,110,46.68,211.247
12,110,47.284,196.048
13,110,43.962,205.361
14,110,40.105,184.581
15,110,37.041,173.445
16,110,46.097,208.151
17,110,44.972,213.653
18,110,1.78,11.883
19,110,1.638,10.98
20,110,1.631,10.824
21,110,1.591,10.518
22,110,1.68,11.114
23,110,1.751,11.645
24,110,1.606,10.722
25,110,229.587,1274.518
26,110,234.468,1249.091
27,110,168.155,926.29
28,110,169.706,861.421
29,110,223.268,1169.52
30,110,184.656,1007.019
31,110,174.57,975.225
32,110,174.81,973.154
33,110,198.519,1083.374
34,110,227.201,1211.82
35,110,253.513,1365.197
36,110,232.993,1268.185
37,110,238.989,1301.619
38,110,243.863,1296.038
39,110,248.413,1264.41
40,110,204.632,1205.312
41,110,238.288,1288.872
42,110,241.993,1311.562
43,110,224.223,1296.678
44,110,226.9,1371
45,110,203.8,1255.9
46,110,217.1,1247.4
47,110,191.1,1067.7
48,110,190.9,1078.4
49,110,43.432,239.724
50,110,47.949,265.435
51,110,0.576,5.095
52,110,0.506,5.185
53,110,0.548,5.384
54,110,0.586,5.846
55,110,0.545,5.583
56,110,0.472,4.826
57,110,0.394,3.907
58,110,0.261,2.592
59,110,0.017,1.205
60,110,2.609,118.633
61,110,2.537,115.469
62,110,2.738,126.285
63,110,2.726,124.339
64,110,2.606,115.689
69,100,6.7,46
70,100,14.794,181.333
71,100,12.842,156.863
72,100,13.913,165.379
73,100,13.845,158.107
74,100,14.888,172.84
75,100,14.064,171.293
76,100,13.304,170.032
77,100,15.27,198.524
78,100,14.333,186.345
79,100,14.912,193.735
80,100,13.639,177.568
81,100,14.008,182.74
82,100,14.994,195.332
83,100,14.169,183.348
84,100,14.276,189.045
85,100,13.785,183.041
86,100,15.6,208.8
87,100,13.7,185
88,100,14.1,189.2
89,100,11.2,152
90,100,12.2,165.9
99,100,18.073,450.91
101,100,19.863,497.004
104,100,20.312,502.923
106,100,18.376,454.856
108,100,20.123,496.698
110,100,19.48,478.877
112,100,18.559,460.789
114,100,18.48,453.97
116,100,18.867,465.084
118,100,20.573,470.276
120,100,20.325,471.336
123,100,21.463,510.394
125,100,19.145,460.215
127,100,20.597,482.282
130,100,19.967,469.515
132,100,20.718,488.639
134,100,18.56,442.518
136,100,21.354,511.741
138,100,19.84,477.682
140,100,19.921,482.235
142,100,18.894,456.053
144,100,19.807,480.69
146,100,21.088,508.304
148,100,19.96,483.306
150,100,21.09,507.04
152,100,20.114,481.922
167,100,0.35,8.565
216,100,6.545,54.938
218,100,5.282,44.407
220,100,5.055,45.292
222,100,3.178,29.825
224,100,3.04,27.81
226,100,2.148,20.241
232,100,17.844,52.773
254,100,0.189,1.23
255,100,0.193,1.248
256,100,0.187,1.216
282,100,59.046,340.833
298,100,0.599,14.858
327,100,0.13,2.65
328,100,0.136,2.763
329,100,0.099,2.06
388,100,52.034,345.11
472,100,0,0.1
474,100,0,0.1
477,100,0.001,0.029
479,100,0.001,0.026
480,100,0.001,0.028
483,100,0,2.5
484,100,0,2.2
485,100,0,4.1
486,100,0,6.3
487,100,0,1.4
545,100,0.104,8.167
550,100,0.631,25.298
552,100,0.599,24.087
555,100,0.632,26.164
557,100,0.65,26.259
559,100,0.64,25.806
563,100,0.637,25.409
565,100,0.634,24.601
567,100,0.617,24.101
569,100,0.573,22.992
571,100,0.669,25.986
573,100,0.581,23.134
577,100,0.571,22.857
580,100,1.807,78.729
590,100,2.7,129.8
600,100,0.002,0.027
621,100,0.001,0.054
624,100,7.539,430.45
628,887,9.092,51.928
629,887,7.9,54.7
630,887,58.66,383.974
631,887,0.841,4.772
632,887,1.915,131.085
633,887,3.2,223.1
634,887,3.145,132.956
636,887,2.943,125.748
638,887,3.076,129.912
639,887,3.051,130.221
641,887,3.815,165.623
642,887,3.758,163.39
643,887,3.916,170.284
647,887,2.913,133.871
707,301,0.1,3.47
708,301,0.095,3.236
709,301,0.097,3.318
713,301,0.103,3.489
715,301,0.099,3.366
728,301,0.148,4.125
729,301,0,1.4
867,301,0,0.3
905,301,0.001,0.061
907,301,0.001,0.068
911,301,0.001,0.068
913,301,0.005,0.34
915,301,0.005,0.34
926,301,0.001,0.068
929,301,0.002,0.136
931,301,0.001,0.068
939,301,0.002,0.136
942,301,0.001,0.068
944,301,0.002,0.136
946,301,0.001,0.068
948,301,0.004,0.272
1045,226,6.74,39.734
1046,226,5.741,34.358
1047,226,5.602,36.275
1048,226,0.427,2.777
1049,226,0.435,2.829
1050,226,0.311,2.023
1051,226,0.28,1.822
1052,226,0.435,2.828
1053,226,0.314,2.04
1054,226,0.308,1.921
1055,226,0.293,1.819
1056,302,3.433,20.475
1074,302,0.03,0.274
1077,302,1.542,10.236
1078,302,1.573,10.546
1079,302,1.527,10.215
1080,302,1.796,12.002
1083,302,0.128,1.265
1084,302,0.001,0.003
1085,302,0.009,0.882
1086,302,0.017,1.568
1087,302,0.045,4.41
1088,302,0.034,3.332
1089,302,0.011,1.078
1090,302,0.009,0.882
1091,302,0.011,1.078
1092,302,0.011,1.078
1093,302,0.01,0.98
1094,302,0.019,1.862
1095,302,0.016,1.568
1096,302,0.007,0.686
1097,302,0.005,0.49
1098,302,0.006,0.588
1099,302,0.002,0.065
1100,302,0.002,0.065
1101,302,0.003,0.098
1102,302,0.002,0.065
1103,302,0.003,0.098
1104,302,0.003,0.098
1108,302,0,0.2
1139,302,0.335,11.502
1140,302,0.429,14.406
1141,302,0.338,11.703
1142,302,0.331,11.157
1143,302,0.642,23.861
1144,302,0.231,7.847
1145,302,0.373,9.961
1146,302,0.508,10.364
1147,302,0.509,9.576
1148,302,0.371,11.237
1149,302,0.365,11.637
1150,302,0.388,11.706
1151,302,0.36,11.623
1152,302,0.329,10.527
1153,302,0.301,10.499
1154,302,0.217,7.252
1155,302,0.2,6.445
1156,302,0.217,7.066
1157,302,0.188,6.142
1158,302,0.216,6.793
1159,302,0.176,5.72
1160,302,0.205,6.508
1161,302,0.185,6.039
1166,106,2.839,17.089
1167,106,0.873,3.618
1168,106,1.201,5.504
1169,106,0.787,4.338
1170,106,0.448,2.787
1171,106,4.024,24.018
1172,106,7.029,41.943
1173,106,11.268,67.147
1174,106,5.9,35.065
1175,106,1.382,7.983
1176,106,1.6,8.6
1177,106,0.437,3.196
1178,106,0.596,4.311
1179,106,0.558,4.087
1180,106,0.604,4.434
